date_key,currency_pair,open_price,high_price,low_price,close_price,volume,daily_return,volatility_20d
2023-01-30,USDJPY,139.50991938502125,140.08205262957796,139.3173216010875,139.58573990889624,3575606,0.0026633563549225414,0.002478623113136114
2023-01-31,USDJPY,139.4534753098996,139.79058241822833,139.26642064223256,139.61250679602443,4590878,0.0001917594673042089,0.0024799526100867933
2023-02-01,USDJPY,139.4703573610716,140.00137868656626,139.3211595362149,139.88430636690825,4433438,0.0019468139146081587,0.002526300216430578
2023-02-02,USDJPY,139.11417031451822,139.63644501378576,138.68401895466755,139.17303270959502,1859625,-0.005084728056967247,0.002668986419182305
2023-02-03,USDJPY,138.97807463338694,139.23762487000857,138.49588830227606,138.90173008953082,1496440,-0.0019493907316823211,0.0026586897502587246
2023-02-06,USDJPY,139.0058052808144,139.52026301788973,138.7732820666519,139.0019691339856,2471926,0.0007216543983301626,0.002587997119427642
2023-02-07,USDJPY,138.7180568864588,138.83656070381656,138.60758440594336,138.45269550072544,2452137,-0.003951552892971666,0.002671900496324414
2023-02-08,USDJPY,138.81198139104524,139.21011633028627,138.67089555730703,138.70777442138188,3873524,0.0018423543126693254,0.002615493853309128
2023-02-09,USDJPY,138.66182171856553,138.87682613720938,138.07789170114302,138.60042935284858,3742455,-0.0007738936694867693,0.0026148929986749775
2023-02-10,USDJPY,138.58889828111722,138.74918172400587,138.34117589237852,138.51028502142702,3269409,-0.0006503899868308682,0.0025205604544074073
2023-02-13,USDJPY,138.43847162805986,138.57694822887447,137.9538600541408,138.4613248588649,2819400,-0.0003534767295767516,0.002444753439604392
2023-02-14,USDJPY,138.90154117418712,139.34968556212618,138.48920938976,138.7781781843298,2272597,0.0022883886586224644,0.002500793673031753
2023-02-15,USDJPY,138.89816686800262,139.16810434988665,138.60719704817618,139.06632146810128,2703820,0.002076286686720774,0.002362448828005139
2023-02-16,USDJPY,138.63373913576365,139.09612252152803,138.43089550466587,138.63377019550137,2643608,-0.0031103955870374067,0.0024155506137741945
2023-02-17,USDJPY,138.83937536378946,138.97205353418892,138.67868215470975,138.83798031561867,1295599,0.0014730185857985134,0.002362118225652042
